symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MSFT,2020-09-10,205.37,214.74,204.11,213.4,35461514,203.8883221285,213.1907206207,202.6374126194,211.8603882857,35461514,0.0,1.0
MSFT,2020-09-11,204.03,208.63,201.24,207.2,33620073,202.5579897935,207.124802287,199.7881187376,205.7051192727,33620073,0.0,1.0
MSFT,2020-09-14,205.41,209.2,204.03,204.24,30375768,203.9280335415,207.690689922,202.5579897935,202.7664747116,30375768,0.0,1.0
MSFT,2020-09-15,208.78,209.78,206.93,208.42,21823942,207.2737200857,208.2665054103,205.437067235,206.9163173688,21823942,0.0,1.0
MSFT,2020-09-16,205.05,210.65,204.64,210.62,26372464,203.5706308246,209.1302286428,203.1635888415,209.1004450831,26372464,0.0,1.0
MSFT,2020-09-17,202.91,204.33,199.96,200.05,34011257,201.4460702298,202.8558253909,198.517353522,198.6067042013,34011257,0.0,1.0
MSFT,2020-09-18,200.39,203.65,196.25,202.8,55225326,198.9442512116,202.1807313701,194.8341199675,201.3368638441,55225326,0.0,1.0
MSFT,2020-09-21,202.54,202.71,196.38,197.19,39839657,201.0787396597,201.2475131649,194.9631820597,195.7673381727,39839657,0.0,1.0
MSFT,2020-09-22,207.42,208.1,202.075,205.06,33517065,205.9235320441,206.5986260649,200.6170944837,203.5805586779,33517065,0.0,1.0
MSFT,2020-09-23,200.59,208.1,200.03,207.9,30803780,199.1428082766,206.5986260649,198.5868484948,206.400069,30803780,0.0,1.0
MSFT,2020-09-24,203.19,205.57,199.2,199.85,31202493,201.7240501207,204.0868791935,197.7628366753,198.4081471363,31202493,0.0,1.0
MSFT,2020-09-25,207.82,209.04,202.54,203.55,29437312,206.320646174,207.5318442701,201.0787396597,202.0814528376,29437312,0.0,1.0
MSFT,2020-09-28,209.44,212.57,208.06,210.88,32004936,207.9289584,211.0363764662,206.5589146519,209.3585692675,32004936,0.0,1.0
MSFT,2020-09-29,207.26,210.07,206.81,209.35,24464472,205.7646863922,208.5544131545,205.3179329961,207.8396077207,24464472,0.0,1.0
MSFT,2020-09-30,210.33,211.98,206.54,207.73,33829088,208.8125373389,210.4506331246,205.0498809584,206.2312954948,33829088,0.0,1.0
MSFT,2020-10-01,212.46,213.99,211.32,213.49,27158418,210.9271700805,212.4461316272,209.7953948103,211.9497389649,27158418,0.0,1.0
